도로명,위도,경도
강변북로,37.530111035421676,127.07494280395375
강변역로2길,37.5368730775456,127.090633321216
강변역로4길,37.533859169330675,127.092598835384
광나루로,37.548010352158684,127.07072764024537
광나루로13길,37.54920052754043,127.06870353382963
광나루로17길,37.548580411277555,127.07267291540117
광나루로19길,37.549421848683366,127.0730432559669
광나루로20길,37.54528659179571,127.07401851326166
광나루로22가길,37.54594209755664,127.0757878860514
광나루로22길,37.545873619573754,127.07508603059614
광나루로22나길,37.54574589779604,127.07552503526749
광나루로24길,37.545140306618094,127.07759921409644
광나루로26길,37.54537306453285,127.07752636483387
광나루로28길,37.54518618630298,127.07855337742014
광나루로30가길,37.544133766105375,127.08312398100725
광나루로30길,37.54351978916005,127.08109502908535
광나루로30나길,37.54355931631323,127.08195807111
광장로,37.547810726567775,127.10518141281815
광장로1가길,37.54755970454936,127.1012776358184
광장로1길,37.5478853749772,127.10226559448361
광장로1나길,37.54863910307,127.10243100488965
광장로1다길,37.54933239649114,127.10265210467227
광장로3길,37.54776212098251,127.102938438439
광장로5길,37.5478606192818,127.1051543108875
구의강변로1길,37.530146686997966,127.08845277987683
구의로4길,37.54100015528969,127.09287057557242
구의로6길,37.54128779436459,127.09089244948908
구의로8길,37.5418136689562,127.09055843851883
구의로9길,37.54223668548633,127.08815138804734
군자로,37.55212905594045,127.07338324102659
군자로10길,37.548816519915555,127.07196657662854
군자로11길,37.550656101700945,127.07048182803882
군자로12길,37.551163890625546,127.07192933775468
군자로15길,37.55469452738846,127.073427492256
군자로17길,37.556353487899145,127.07710841232607
군자로2길,37.544735424230275,127.07192156198313
군자로3길,37.54448187367449,127.07034031528862
군자로4길,37.54546802811036,127.071953656795
군자로5길,37.54517031825432,127.06998442974113
군자로6길,37.54574051614657,127.07214652625895
군자로7길,37.546389235908926,127.06958187330106
군자로9길,37.549074842994564,127.07003362546546
긴고랑로,37.55911255311807,127.0910650782519
긴고랑로13길,37.56464400795399,127.08277874289196
긴고랑로14길,37.56059554488466,127.0806079234578
긴고랑로15길,37.563176016977415,127.08359898659566
긴고랑로16길,37.56008288637699,127.08189484728145
긴고랑로17길,37.5630833854775,127.08416799109408
긴고랑로19길,37.562416809022636,127.08455060810341
긴고랑로1길,37.56550001014553,127.07796720727961
긴고랑로25길,37.56108545753673,127.08589025471568
긴고랑로26길,37.55963536259232,127.08540012458555
긴고랑로27길,37.560832505302635,127.08622229987073
긴고랑로29길,37.56131186251223,127.08657740978131
긴고랑로30길,37.558487523854595,127.08692745603821
긴고랑로31길,37.56090486781092,127.08695703099515
긴고랑로33길,37.5603132723273,127.088012486819
긴고랑로35길,37.55980524688036,127.08841225286767
긴고랑로36길,37.557638870142185,127.09068169125091
긴고랑로37길,37.5599216177243,127.08973873877105
긴고랑로38길,37.55824762308407,127.09061635120237
긴고랑로39길,37.55978722675218,127.09140369574554
긴고랑로3길,37.565237799336245,127.07857790152678
긴고랑로40길,37.55780651320775,127.09217794621726
긴고랑로42길,37.558764302937675,127.09373951227978
긴고랑로44길,37.55909663428525,127.09482440872523
긴고랑로46가길,37.55888126901185,127.09524486227525
긴고랑로46길,37.5603317936843,127.09581703539367
긴고랑로46나길,37.559675991319466,127.095553882616
긴고랑로4길,37.56249169487035,127.07703027551496
긴고랑로5길,37.56499881084087,127.0792028299025
긴고랑로6길,37.56238447412142,127.07783652588287
긴고랑로7길,37.56516003800582,127.08007534995608
능동로,37.55509871872791,127.07803975973151
능동로10길,37.5355154356699,127.075402037711
능동로13길,37.5445068419292,127.06946403121259
능동로16길,37.54503348818502,127.07593121148255
능동로17길,37.54626698088983,127.07277603989094
능동로19길,37.54689544076746,127.07290711123406
능동로1길,37.532689618087005,127.06576914579199
능동로23길,37.55245033859392,127.07583571154775
능동로24길,37.55305704378106,127.08038067098954
능동로25길,37.553117752762496,127.075859018098
능동로27길,37.55439323630717,127.07649450230375
능동로32길,37.552822549948644,127.08481542882663
능동로34길,37.55438694896955,127.08291461222484
능동로36길,37.55530075921458,127.08197459286136
능동로37길,37.55857947092634,127.0781682082573
능동로38길,37.557690120374154,127.0807812282525
능동로39길,37.559023494709294,127.078366351343
능동로3가길,37.5334904514529,127.06575882930602
능동로3길,37.53435680292895,127.06392522882926
능동로3다길,37.532677185813384,127.06468545483494
능동로3라길,37.53434904732912,127.06518061228913
능동로3마길,37.53443828440654,127.0642233795284
능동로40길,37.55800780797503,127.08116650405462
능동로41길,37.56034305850667,127.07957607485282
능동로42길,37.55918147235795,127.08232698826033
능동로43길,37.561558781025894,127.08025879370365
능동로44길,37.56060585087211,127.08308784675384
능동로46길,37.56103136479955,127.08330466038973
능동로47길,37.5633696413801,127.08099154333556
능동로48가길,37.56274539007748,127.08583070990645
능동로48길,37.56218878561481,127.08425088852532
